id,slug,title,year,pattern,field,current_value,suggested_fix,severity,auto_fixable
16c85fc9-80de-4f8c-bd0d-069b48a57168,"mawaali-1983","Mawaali",1983,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
65d6c36c-2148-4174-a485-69ea29b33084,"manthra-dandam-1985","Manthra Dandam",1985,EMPTY_VALUE,hero,"Unknown","Set to null or find actual value",low,true
59474234-2213-4fa6-9768-e7317db435f1,"pelleedu-pillalu-1982","Pelleedu Pillalu",1982,EMPTY_VALUE,hero,"Unknown","Set to null or find actual value",low,true
a3954a89-0f81-4fd0-a527-0497705c4a27,"angeekaaram-1977","Angeekaaram",1977,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
a4afdffb-c673-485e-85d9-fceb44932a25,"vaanam-2011","Vaanam",2011,GENDER_SWAP,hero,"Anushka Shetty","Move to heroine",high,false
53888702-5231-4c81-84b9-01234aa1eaf1,"kottai-mariamman-2001","Kottai Mariamman",2001,GENDER_SWAP,hero,"Roja","Move to heroine",high,false
c218798b-a4ca-42dc-b7c6-a6a407ab9524,"the-desire-2010","The Desire",2010,BAD_SLUG,slug,"the-desire-2010","Article prefix",medium,false
1c56d0c1-5b55-4a00-9a1a-6186aa6a956f,"mundadugu-1983","Mundadugu",1983,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
9ae4694b-6332-4775-907f-de052bd508a0,"devi-l-2016","Devi(L)",2016,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
aa80fa40-69d5-414d-b347-866e01ffc698,"devi-2-2019","Devi 2",2019,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
1287e3f6-481d-41de-b4aa-51880a236d43,"padikathavan-2009","Padikathavan",2009,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
a1e290f1-ebb8-4d07-8daf-c26fd0fd68eb,"the-ghost-2022","The Ghost",2022,BAD_SLUG,slug,"the-ghost-2022","Article prefix",medium,false
84f6df71-8fcd-44da-bbe2-501430656d83,"best-actress-1996","Best Actress",1996,GENDER_SWAP,hero,"Soundarya","Move to heroine",high,false
973a629d-bf38-46b9-b7ed-072619cd8646,"anbanavan-asaradhavan-adangadhavan-2017","Anbanavan Asaradhavan Adangadhavan",2017,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
bb055ff1-9e3c-4758-929b-78af641a99db,"anna-chellelu-1993","Anna Chellelu",1993,GENDER_SWAP,hero,"Soundarya","Move to heroine",high,false
d12f2a32-75a3-48f3-9a05-6ef8a08a2755,"jawab-hum-denge-1987","Jawab Hum Denge",1987,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
8d92f69b-d01b-4826-a081-19ea658d00e0,"kanne-kalaimaane-2019","Kanne Kalaimaane",2019,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
663813c1-2372-42b3-9dfc-cd78bef3e62c,"odela-2-2025","Odela 2",2025,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
6a33daf1-0b9c-4a35-bca4-901c04128cbd,"thillalangadi-2010","Thillalangadi",2010,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
b4387f43-8aa1-47ec-bdbb-72e5c891afa8,"khaidi-kalidasu-1977","Khaidi Kalidasu",1977,GENDER_SWAP,heroine,"Sobhan Babu","Move to hero",high,false
2ced2102-12ab-4391-9e5b-40ae526c7b11,"amma-mata-1972","Amma Mata",1972,GENDER_SWAP,hero,"Sridevi","Move to heroine",high,false
1e0ce6fe-0058-4097-9069-6879f475350e,"rendu-2006","Rendu",2006,GENDER_SWAP,hero,"Anushka Shetty","Move to heroine",high,false
959d5cc0-df04-41d8-bc22-4a3a3f1cdafe,"the-power-2021","The Power",2021,BAD_SLUG,slug,"the-power-2021","Article prefix",medium,false
8331c248-2d16-4203-b61f-061c17b3e4be,"kedi-2006","Kedi",2006,GENDER_SWAP,hero,"Tamannaah","Move to heroine",high,false
3500c2bf-3823-4b04-8aa3-0b9483d8d272,"the-raja-saab-2026","The Raja Saab",2026,BAD_SLUG,slug,"the-raja-saab-2026","Article prefix",medium,false
1f509925-a7af-45e4-a1df-3b79fc66c43c,"devi-2020","Devi",2020,GENDER_SWAP,hero,"Shruti Haasan","Move to heroine",high,false
7e667857-1914-4376-aff9-235e6c44de5a,"the-eye-2023","The Eye",2023,BAD_SLUG,slug,"the-eye-2023","Article prefix",medium,false
7b463cf0-057b-4154-b696-37c6daa1f0a9,"oke-maata-2000","Oke Maata",2000,GENDER_SWAP,hero,"Ramya Krishnan","Move to heroine",high,false
c984fdf8-5122-48f7-97b5-00d9a2c65f25,"haisiyat-1984","Haisiyat",1984,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
5d32087c-cf2b-460d-9ee7-fa8b793758b6,"vikram-2005","Vikramarkudu",2005,GENDER_SWAP,hero,"Anushka Shetty","Move to heroine",high,false
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,"angala-parameswari-2002","Angala Parameswari",2002,GENDER_SWAP,hero,"Meena","Move to heroine",high,false
2c61e1ee-623b-40b8-885f-a90bbccbc84f,"devadoothan-2000","Devadoothan",2000,GENDER_SWAP,hero,"Jaya Prada","Move to heroine",high,false
